onset	duration	trial_type	response_time	stim_file	TODO -- fill in rows and add more tab-separated columns if desired
0.0	17.990999999999985	T:	n/a	n/a	n/a
17.990999999999985	12.113	RV0.0:	n/a	bday_roomrec.mp4	n/a
30.103999999999985	12.036	RV0.1:	n/a	texture_roomrec.mp4	n/a
42.13999999999999	12.00200000000001	RV0.2:	n/a	clocks_roomrec.mp4	n/a
54.142	11.99799999999999	RV0.3:	n/a	tools_rec.mp4	n/a
66.13999999999999	11.984000000000009	RV0.4:	n/a	crystals_roomrec.mp4	n/a
78.124	12.0	RV0.5:	n/a	storage_rec.mp4	n/a
90.124	12.001000000000005	RV0.6:	n/a	space_rec.mp4	n/a
102.125	12.000999999999976	RV0.7:	n/a	chess_roomrec.mp4	n/a
114.12599999999998	12.001000000000031	RV0.8:	n/a	bedroom_rec.mp4	n/a
126.127	11.998999999999969	RV0.9:	n/a	pc_rec.mp4	n/a
138.12599999999998	12.0	RV0.10:	n/a	island_rec.mp4	n/a
150.12599999999998	12.00200000000001	RV0.11:	n/a	humans_roomrec.mp4	n/a
162.128	12.00200000000001	RV0.12:	n/a	applecrate_roomrec.mp4	n/a
174.13	11.997000000000014	RV0.13:	n/a	tv_rec.mp4	n/a
186.127	12.000999999999976	RV0.14:	n/a	firepit_roomrec.mp4	n/a
198.128	11.99799999999999	RV0.15:	n/a	ruins_roomrec.mp4	n/a
210.126	12.009000000000016	RV0.16:	n/a	paint_rec.mp4	n/a
222.135	11.99599999999998	RV0.17:	n/a	candy_rec.mp4	n/a
234.131	11.999000000000024	RV0.18:	n/a	antiques_rec.mp4	n/a
246.13	12.0	RV0.19:	n/a	class_rec.mp4	n/a
258.13	11.998999999999969	RV0.20:	n/a	empty_roomrec.mp4	n/a
270.129	12.003000000000045	RV0.21:	n/a	altar_roomrec.mp4	n/a
282.132	16.988999999999976	RV0.22:	n/a	cats_roomrec.mp4	n/a
299.121	n/a	PT:	n/a	n/a	n/a
