onset	duration	trial_type	response_time	stim_file	TODO -- fill in rows and add more tab-separated columns if desired
0.0	17.982	T:	n/a	n/a	n/a
17.982	12.131	RV0.0:	n/a	bedroom_rec.mp4	n/a
30.113	12.057999999999993	RV0.1:	n/a	applecrate_roomrec.mp4	n/a
42.17099999999999	11.983000000000004	RV0.2:	n/a	bday_roomrec.mp4	n/a
54.154	12.00200000000001	RV0.3:	n/a	pc_rec.mp4	n/a
66.156	11.96799999999999	RV0.4:	n/a	candy_rec.mp4	n/a
78.124	12.02800000000002	RV0.5:	n/a	humans_roomrec.mp4	n/a
90.15200000000002	12.0	RV0.6:	n/a	empty_roomrec.mp4	n/a
102.15200000000002	11.998999999999995	RV0.7:	n/a	class_rec.mp4	n/a
114.151	12.001000000000005	RV0.8:	n/a	space_rec.mp4	n/a
126.15200000000002	11.976	RV0.9:	n/a	texture_roomrec.mp4	n/a
138.128	12.025999999999982	RV0.10:	n/a	altar_roomrec.mp4	n/a
150.154	11.995000000000005	RV0.11:	n/a	clocks_roomrec.mp4	n/a
162.149	11.99799999999999	RV0.12:	n/a	tv_rec.mp4	n/a
174.147	12.002999999999986	RV0.13:	n/a	island_rec.mp4	n/a
186.15	11.978000000000009	RV0.14:	n/a	ruins_roomrec.mp4	n/a
198.128	12.023000000000025	RV0.15:	n/a	paint_rec.mp4	n/a
210.151	12.0	RV0.16:	n/a	cats_roomrec.mp4	n/a
222.151	12.000999999999976	RV0.17:	n/a	antiques_rec.mp4	n/a
234.152	11.999000000000024	RV0.18:	n/a	chess_roomrec.mp4	n/a
246.151	11.980999999999996	RV0.19:	n/a	tools_rec.mp4	n/a
258.132	12.031000000000006	RV0.20:	n/a	storage_rec.mp4	n/a
270.163	12.0	RV0.21:	n/a	firepit_roomrec.mp4	n/a
282.163	17.012	RV0.22:	n/a	crystals_roomrec.mp4	n/a
299.175	n/a	PT:	n/a	n/a	n/a
