filename	acq_time	operator	randstr
anat/sub-sid03_ses-01_scout1.nii.gz	2018-06-05T13:35:34	n/a	W[mA%MDF
anat/sub-sid03_ses-01_scout2.nii.gz	2018-06-05T13:35:34	n/a	;SPcn4EN
anat/sub-sid03_ses-01_scout3.nii.gz	2018-06-05T13:35:34	n/a	"ZKr""5@SN"
anat/sub-sid03_ses-01_T1w.nii.gz	2018-06-05T13:44:55	n/a	xGo*)5,}
anat/sub-sid03_ses-01_T1w__dup-01.nii.gz	2018-06-05T13:44:55	n/a	+,{.us$W
anat/sub-sid03_ses-01_T1w__dup-02.nii.gz	2018-06-05T13:44:55	n/a	#rq{xg`E
fmap/sub-sid03_ses-01_dir-AP_epi.nii.gz	2018-06-05T13:47:02	n/a	-P`/\zD7
fmap/sub-sid03_ses-01_dir-PA_epi.nii.gz	2018-06-05T13:48:03	n/a	)8M+u&%i
func/sub-sid03_ses-01_task-volumetest_bold.nii.gz	2018-06-05T13:50:44	n/a	Xri/Q(|L
func/sub-sid03_ses-01_task-roomvideo_run-01_bold.nii.gz	2018-06-05T13:55:21	n/a	3y?A^*ro
func/sub-sid03_ses-01_task-roomvideo_run-02_bold.nii.gz	2018-06-05T14:00:58	n/a	p@X2MW*Q
func/sub-sid03_ses-01_task-pathvideo_bold.nii.gz	2018-06-05T14:06:35	n/a	",""b~W$vT"
