filename	acq_time	operator	randstr
anat/sub-sid04_ses-01_scout1.nii.gz	2018-06-06T09:26:42	n/a	2OAR[J&(
anat/sub-sid04_ses-01_scout2.nii.gz	2018-06-06T09:26:42	n/a	Rv&Lw9%W
anat/sub-sid04_ses-01_scout3.nii.gz	2018-06-06T09:26:42	n/a	-Y=j@Pcu
anat/sub-sid04_ses-01_T1w__dup-01.nii.gz	2018-06-06T09:36:06	n/a	STs1g]lj
anat/sub-sid04_ses-01_T1w__dup-02.nii.gz	2018-06-06T09:36:06	n/a	\B0=`U>r
anat/sub-sid04_ses-01_T1w.nii.gz	2018-06-06T09:36:07	n/a	uM6)/sZI
fmap/sub-sid04_ses-01_dir-AP_epi.nii.gz	2018-06-06T09:38:06	n/a	{5AIBi%!
fmap/sub-sid04_ses-01_dir-PA_epi.nii.gz	2018-06-06T09:39:15	n/a	+kOQi&L`
func/sub-sid04_ses-01_task-volumetest_bold.nii.gz	2018-06-06T09:40:59	n/a	Xul~7QVN
func/sub-sid04_ses-01_task-roomvideo_run-01_bold.nii.gz	2018-06-06T09:42:35	n/a	9l?uLh=F
func/sub-sid04_ses-01_task-roomvideo_run-02_bold.nii.gz	2018-06-06T09:48:03	n/a	ySGj6E5*
func/sub-sid04_ses-01_task-pathvideo_bold.nii.gz	2018-06-06T09:53:46	n/a	yRm<'Cr^
