filename	acq_time	operator	randstr
anat/sub-sid19_ses-02_scout1.nii.gz	2019-03-07T19:26:30	n/a	I2BV;yd\
anat/sub-sid19_ses-02_scout2.nii.gz	2019-03-07T19:26:30	n/a	1t*W&Gp)
anat/sub-sid19_ses-02_scout3.nii.gz	2019-03-07T19:26:30	n/a	`^!7PH\>
fmap/sub-sid19_ses-02_dir-AP_epi.nii.gz	2019-03-07T19:29:05	n/a	mb[J0V{8
fmap/sub-sid19_ses-02_dir-PA_epi.nii.gz	2019-03-07T19:30:07	n/a	IR^6bk+#
func/sub-sid19_ses-02_task-volumetest_bold.nii.gz	2019-03-07T19:32:27	n/a	g[M@&x0>
func/sub-sid19_ses-02_task-recall_bold.nii.gz	2019-03-07T19:34:53	n/a	aXxWLRce
func/sub-sid19_ses-02_task-roomobjectvideo_run-01_bold.nii.gz	2019-03-07T20:20:37	n/a	"$T0UC""nL"
func/sub-sid19_ses-02_task-roomobjectvideo_run-02_bold.nii.gz	2019-03-07T20:31:07	n/a	"""O7n]ep("
func/sub-sid19_ses-02_task-pathvideo_bold.nii.gz	2019-03-07T20:41:33	n/a	ZV@!Tg&7
