onset	duration	trial_type	response_time	stim_file	TODO -- fill in rows and add more tab-separated columns if desired
0.0	4.988	T:	n/a	n/a	n/a
4.988	377.704	FR:	n/a	n/a	n/a
382.692	74.48000000000002	GR0:	n/a	Empty; Cat Portraits; Ruins; Chess; Human Portraits	n/a
457.172	65.09100000000001	GR1:	n/a	Chess; Storage Boxes; Painting; Computer Store; Tool	n/a
522.263	70.16499999999996	GR2:	n/a	Ruins; Clocks; Crystals; Colorful Wall; Stone Altar	n/a
592.428	46.91599999999994	GR3:	n/a	Stone Altar; Colorful Wall; Crystals; Clocks; Ruins	n/a
639.3439999999999	70.08600000000001	GR4:	n/a	Computer Store; Planet; Floating Islands; Bedroom; Tool	n/a
709.43	45.83800000000008	GR5:	n/a	Candy; Classroom; Tool; Bedroom; Floating Islands	n/a
755.268	89.80099999999993	GR6:	n/a	Human Portraits; Firepit; Abandoned Birthday Party; Apple Crates; Stone Altar	n/a
845.069	92.20100000000014	GR7:	n/a	Stone Altar; Apple Crates; Abandoned Birthday Party; Firepit; Human Portraits	n/a
937.27	116.1039999999998	GR8:	n/a	Painting; Storage Boxes; Chess; Ruins; Cat Portraits	n/a
1053.3739999999998	127.01	GR9:	n/a	Floating Islands; Planet; Computer Store; Painting; Human Portraits	n/a
1180.384	108.72300000000018	GR10:	n/a	Tool; Classroom; Antiques; TV; Candy	n/a
1289.107	n/a	PT:	n/a	n/a	n/a
