filename	acq_time	operator	randstr
anat/sub-sid26_ses-01_scout1.nii.gz	2019-06-04T18:55:35	n/a	Qe.x'E{b
anat/sub-sid26_ses-01_scout2.nii.gz	2019-06-04T18:55:35	n/a	Su!t_q9O
anat/sub-sid26_ses-01_scout3.nii.gz	2019-06-04T18:55:35	n/a	TS>i6I~X
anat/sub-sid26_ses-01_T1w__dup-01.nii.gz	2019-06-04T19:04:45	n/a	8'Z4JfqS
anat/sub-sid26_ses-01_T1w__dup-02.nii.gz	2019-06-04T19:04:45	n/a	Myd`3r#~
anat/sub-sid26_ses-01_T1w.nii.gz	2019-06-04T19:04:46	n/a	".""9ZuEeA"
fmap/sub-sid26_ses-01_dir-AP_epi.nii.gz	2019-06-04T19:08:33	n/a	jFEM1v0^
fmap/sub-sid26_ses-01_dir-PA_epi.nii.gz	2019-06-04T19:09:53	n/a	5'4hn6lL
func/sub-sid26_ses-01_task-volumetest_bold.nii.gz	2019-06-04T19:12:25	n/a	QA-3V@H.
func/sub-sid26_ses-01_task-roomvideo_run-01_bold.nii.gz	2019-06-04T19:13:46	n/a	|<?/emg1
func/sub-sid26_ses-01_task-roomvideo_run-02_bold.nii.gz	2019-06-04T19:19:56	n/a	OY-)~#BA
func/sub-sid26_ses-01_task-pathvideo_bold.nii.gz	2019-06-04T19:25:45	n/a	+oz|I\d,
