onset	duration	trial_type	response_time	stim_file	TODO -- fill in rows and add more tab-separated columns if desired
0.0	4.990000000000009	T:	n/a	n/a	n/a
4.990000000000009	1576.877	FR:	n/a	n/a	n/a
1581.867	212.4479999999999	GR0:	n/a	Floating Islands; Planet; Computer Store; Painting; Human Portraits	n/a
1794.3149999999998	234.42300000000023	GR1:	n/a	Painting; Storage Boxes; Chess; Ruins; Cat Portraits	n/a
2028.738	271.90999999999985	GR2:	n/a	Stone Altar; Colorful Wall; Crystals; Clocks; Ruins	n/a
2300.648	193.35899999999992	GR3:	n/a	Empty; Cat Portraits; Ruins; Chess; Human Portraits	n/a
2494.007	251.14200000000028	GR4:	n/a	Candy; Classroom; Tool; Bedroom; Floating Islands	n/a
2745.1490000000003	184.33599999999976	GR5:	n/a	Ruins; Clocks; Crystals; Colorful Wall; Stone Altar	n/a
2929.485	210.5250000000001	GR6:	n/a	Computer Store; Planet; Floating Islands; Bedroom; Tool	n/a
3140.01	230.67799999999988	GR7:	n/a	Human Portraits; Firepit; Abandoned Birthday Party; Apple Crates; Stone Altar	n/a
3370.688	215.3400000000001	GR8:	n/a	Tool; Classroom; Antiques; TV; Candy	n/a
3586.028	203.3579999999997	GR9:	n/a	Chess; Storage Boxes; Painting; Computer Store; Tool	n/a
3789.386	153.84400000000005	GR10:	n/a	Stone Altar; Apple Crates; Abandoned Birthday Party; Firepit; Human Portraits	n/a
3943.23	n/a	PT:	n/a	n/a	n/a
