filename	acq_time	operator	randstr
anat/sub-sid05_ses-01_scout1.nii.gz	2018-08-04T13:20:11	n/a	3$df;Exp
anat/sub-sid05_ses-01_scout2.nii.gz	2018-08-04T13:20:11	n/a	PTMv?&wK
anat/sub-sid05_ses-01_scout3.nii.gz	2018-08-04T13:20:11	n/a	CDcixS}Z
anat/sub-sid05_ses-01_T1w__dup-01.nii.gz	2018-08-04T13:30:22	n/a	IP3DW}'r
anat/sub-sid05_ses-01_T1w__dup-02.nii.gz	2018-08-04T13:30:22	n/a	P=U#|N&:
anat/sub-sid05_ses-01_T1w.nii.gz	2018-08-04T13:30:23	n/a	[&1:uko5
fmap/sub-sid05_ses-01_dir-AP_epi.nii.gz	2018-08-04T13:35:36	n/a	ElY%*~}g
fmap/sub-sid05_ses-01_dir-PA_epi.nii.gz	2018-08-04T13:36:44	n/a	!Do,~qYU
func/sub-sid05_ses-01_task-volumetest_bold__dup-03.nii.gz	2018-08-04T13:39:22	n/a	#mp=%ylA
func/sub-sid05_ses-01_task-volumetest_bold.nii.gz	2018-08-04T13:42:22	n/a	"O*P|S""(e"
func/sub-sid05_ses-01_task-roomvideo_run-01_bold.nii.gz	2018-08-04T13:46:22	n/a	v_5lxBY(
func/sub-sid05_ses-01_task-roomvideo_run-02_bold.nii.gz	2018-08-04T13:52:22	n/a	U&QmAqBO
func/sub-sid05_ses-01_task-pathvideo_bold.nii.gz	2018-08-04T13:57:57	n/a	g#-JU`yL
