filename	acq_time	operator	randstr
anat/sub-sid22_ses-01_scout1.nii.gz	2019-04-10T19:01:29	n/a	PGZ5+M0)
anat/sub-sid22_ses-01_scout2.nii.gz	2019-04-10T19:01:29	n/a	awRW5oN<
anat/sub-sid22_ses-01_scout3.nii.gz	2019-04-10T19:01:29	n/a	.sF4a<^?
anat/sub-sid22_ses-01_T1w__dup-01.nii.gz	2019-04-10T19:11:01	n/a	}rMw^[5H
anat/sub-sid22_ses-01_T1w__dup-02.nii.gz	2019-04-10T19:11:01	n/a	"""pVR9~QS"
anat/sub-sid22_ses-01_T1w.nii.gz	2019-04-10T19:11:02	n/a	d$W#RZsy
fmap/sub-sid22_ses-01_dir-AP_epi.nii.gz	2019-04-10T19:13:47	n/a	Y9{PC-Q:
fmap/sub-sid22_ses-01_dir-PA_epi.nii.gz	2019-04-10T19:16:02	n/a	N2@yFJZg
func/sub-sid22_ses-01_task-volumetest_bold.nii.gz	2019-04-10T19:18:41	n/a	RJj2~9x/
func/sub-sid22_ses-01_task-roomvideo_run-01_bold.nii.gz	2019-04-10T19:20:39	n/a	}*l,PCV^
func/sub-sid22_ses-01_task-roomvideo_run-02_bold.nii.gz	2019-04-10T19:26:16	n/a	yu-lwS,o
func/sub-sid22_ses-01_task-pathvideo_bold.nii.gz	2019-04-10T19:32:01	n/a	&C<(nwT2
