filename	acq_time	operator	randstr
anat/sub-sid08_ses-02_scout1.nii.gz	2018-09-27T19:14:34	n/a	;b)`SVE0
anat/sub-sid08_ses-02_scout2.nii.gz	2018-09-27T19:14:34	n/a	*W0bcOaE
anat/sub-sid08_ses-02_scout3.nii.gz	2018-09-27T19:14:34	n/a	Ym>^]<9-
fmap/sub-sid08_ses-02_dir-AP_epi.nii.gz	2018-09-27T19:17:34	n/a	"&]H""Ju~T"
fmap/sub-sid08_ses-02_dir-PA_epi.nii.gz	2018-09-27T19:18:46	n/a	f+n[YlSg
func/sub-sid08_ses-02_task-volumetest_bold.nii.gz	2018-09-27T19:20:28	n/a	"#`<&C""m;"
func/sub-sid08_ses-02_task-recall_bold.nii.gz	2018-09-27T19:22:07	n/a	ZWU/<d04
func/sub-sid08_ses-02_task-roomobjectvideo_run-01_bold.nii.gz	2018-09-27T20:08:43	n/a	i4_*euLW
func/sub-sid08_ses-02_task-roomobjectvideo_run-02_bold.nii.gz	2018-09-27T20:20:56	n/a	V{U*Xfx,
func/sub-sid08_ses-02_task-pathvideo_bold.nii.gz	2018-09-27T20:31:47	n/a	/M2?JpyU
