onset	duration	trial_type	response_time	stim_file	TODO -- fill in rows and add more tab-separated columns if desired
0.0	17.986999999999995	T:	n/a	n/a	n/a
17.986999999999995	12.105000000000018	RV0.0:	n/a	paint_rec.mp4	n/a
30.092000000000013	12.048999999999978	RV0.1:	n/a	space_rec.mp4	n/a
42.14099999999999	11.984999999999983	RV0.2:	n/a	altar_roomrec.mp4	n/a
54.125999999999976	11.998000000000047	RV0.3:	n/a	cats_roomrec.mp4	n/a
66.12400000000002	12.000999999999976	RV0.4:	n/a	class_rec.mp4	n/a
78.125	12.0	RV0.5:	n/a	empty_roomrec.mp4	n/a
90.125	12.002999999999986	RV0.6:	n/a	pc_rec.mp4	n/a
102.128	12.0	RV0.7:	n/a	tv_rec.mp4	n/a
114.128	12.00200000000001	RV0.8:	n/a	tools_rec.mp4	n/a
126.13	11.99799999999999	RV0.9:	n/a	applecrate_roomrec.mp4	n/a
138.128	12.00400000000002	RV0.10:	n/a	texture_roomrec.mp4	n/a
150.132	11.995000000000005	RV0.11:	n/a	bedroom_rec.mp4	n/a
162.127	12.002999999999986	RV0.12:	n/a	island_rec.mp4	n/a
174.13	12.006000000000029	RV0.13:	n/a	bday_roomrec.mp4	n/a
186.136	11.992999999999997	RV0.14:	n/a	firepit_roomrec.mp4	n/a
198.129	12.005999999999972	RV0.15:	n/a	humans_roomrec.mp4	n/a
210.135	11.999000000000024	RV0.16:	n/a	crystals_roomrec.mp4	n/a
222.134	12.0	RV0.17:	n/a	clocks_roomrec.mp4	n/a
234.134	11.99799999999999	RV0.18:	n/a	storage_rec.mp4	n/a
246.132	12.004999999999995	RV0.19:	n/a	antiques_rec.mp4	n/a
258.137	11.995000000000005	RV0.20:	n/a	candy_rec.mp4	n/a
270.132	12.002999999999986	RV0.21:	n/a	ruins_roomrec.mp4	n/a
282.135	16.983000000000004	RV0.22:	n/a	chess_roomrec.mp4	n/a
299.118	n/a	PT:	n/a	n/a	n/a
