filename	acq_time	operator	randstr
anat/sub-sid09_ses-02_scout1.nii.gz	2018-10-02T18:53:24	n/a	"7Y""6i!_z"
anat/sub-sid09_ses-02_scout2.nii.gz	2018-10-02T18:53:24	n/a	h)j+6#xg
anat/sub-sid09_ses-02_scout3.nii.gz	2018-10-02T18:53:24	n/a	y[E89S`$
fmap/sub-sid09_ses-02_dir-AP_epi.nii.gz	2018-10-02T18:57:21	n/a	P^+~qiE?
fmap/sub-sid09_ses-02_dir-PA_epi.nii.gz	2018-10-02T18:58:56	n/a	RUSmF9cs
func/sub-sid09_ses-02_task-volumetest_bold__dup-01.nii.gz	2018-10-02T19:00:50	n/a	wP#Y.7!6
func/sub-sid09_ses-02_task-recall_bold__dup-02.nii.gz	2018-10-02T19:02:45	n/a	"[vOX2""~#"
func/sub-sid09_ses-02_task-volumetest_bold.nii.gz	2018-10-02T19:14:00	n/a	>@=J:CE&
func/sub-sid09_ses-02_task-recall_bold.nii.gz	2018-10-02T19:16:30	n/a	?ShfdL\j
func/sub-sid09_ses-02_task-roomobjectvideo_run-01_bold.nii.gz	2018-10-02T20:16:05	n/a	";TPQ1[""i"
func/sub-sid09_ses-02_task-roomobjectvideo_run-02_bold.nii.gz	2018-10-02T20:26:45	n/a	:3,%yUJl
func/sub-sid09_ses-02_task-pathvideo_bold.nii.gz	2018-10-02T20:38:10	n/a	S}UwRnuP
