filename	acq_time	operator	randstr
anat/sub-sid29_ses-01_scout1.nii.gz	2019-08-15T15:14:55	n/a	im9ylSMo
anat/sub-sid29_ses-01_scout2.nii.gz	2019-08-15T15:14:55	n/a	^4Z[GuFb
anat/sub-sid29_ses-01_scout3.nii.gz	2019-08-15T15:14:55	n/a	Bj5d)lPc
anat/sub-sid29_ses-01_T1w__dup-01.nii.gz	2019-08-15T15:24:16	n/a	"o_j~""XTW"
anat/sub-sid29_ses-01_T1w.nii.gz	2019-08-15T15:24:17	n/a	OJ:)CBMc
anat/sub-sid29_ses-01_T1w__dup-02.nii.gz	2019-08-15T15:24:17	n/a	&pR%.E5*
fmap/sub-sid29_ses-01_dir-AP_epi.nii.gz	2019-08-15T15:27:33	n/a	eK'MGd9r
fmap/sub-sid29_ses-01_dir-PA_epi.nii.gz	2019-08-15T15:28:51	n/a	KZ5?r(T|
func/sub-sid29_ses-01_task-volumetest_bold.nii.gz	2019-08-15T15:31:09	n/a	8,Jda*j)
func/sub-sid29_ses-01_task-roomvideo_run-01_bold.nii.gz	2019-08-15T15:32:57	n/a	^fu@r;Ea
func/sub-sid29_ses-01_task-roomvideo_run-02_bold.nii.gz	2019-08-15T15:38:37	n/a	Cuz[5@h6
func/sub-sid29_ses-01_task-pathvideo_bold.nii.gz	2019-08-15T15:44:16	n/a	n>xUW:*<
