filename	acq_time	operator	randstr
anat/sub-sid06_ses-01_scout1.nii.gz	2018-08-16T16:48:50	n/a	x?Ou%-BK
anat/sub-sid06_ses-01_scout2.nii.gz	2018-08-16T16:48:50	n/a	vP)-KiAp
anat/sub-sid06_ses-01_scout3.nii.gz	2018-08-16T16:48:50	n/a	"(yn""QZ6;"
anat/sub-sid06_ses-01_T1w.nii.gz	2018-08-16T16:58:16	n/a	{btAW<^`
anat/sub-sid06_ses-01_T1w__dup-01.nii.gz	2018-08-16T16:58:16	n/a	jzn*0Wg~
anat/sub-sid06_ses-01_T1w__dup-02.nii.gz	2018-08-16T16:58:16	n/a	E{)aCV>z
fmap/sub-sid06_ses-01_dir-AP_epi.nii.gz	2018-08-16T17:02:02	n/a	>qL5(@MG
fmap/sub-sid06_ses-01_dir-PA_epi__dup-03.nii.gz	2018-08-16T17:03:00	n/a	$;!lVt?e
func/sub-sid06_ses-01_task-volumetest_bold.nii.gz	2018-08-16T17:06:36	n/a	9*nSNO<e
fmap/sub-sid06_ses-01_dir-PA_epi.nii.gz	2018-08-16T17:09:48	n/a	ha`tJxB2
func/sub-sid06_ses-01_task-roomvideo_run-01_bold.nii.gz	2018-08-16T17:12:57	n/a	bgp,U<8.
func/sub-sid06_ses-01_task-roomvideo_run-02_bold.nii.gz	2018-08-16T17:18:36	n/a	TqQnmh`S
func/sub-sid06_ses-01_task-pathvideo_bold.nii.gz	2018-08-16T17:25:00	n/a	8W>M?:-Z
