onset	duration	trial_type	response_time	stim_file	TODO -- fill in rows and add more tab-separated columns if desired
0.0	4.986999999999995	T:	n/a	n/a	n/a
4.986999999999995	770.1199999999999	FR:	n/a	n/a	n/a
775.107	146.45800000000008	GR0:	n/a	Human Portraits; Firepit; Abandoned Birthday Party; Apple Crates; Stone Altar	n/a
921.565	137.00199999999995	GR1:	n/a	Empty; Cat Portraits; Ruins; Chess; Human Portraits	n/a
1058.567	130.2650000000001	GR2:	n/a	Chess; Storage Boxes; Painting; Computer Store; Tool	n/a
1188.832	120.67200000000004	GR3:	n/a	Stone Altar; Colorful Wall; Crystals; Clocks; Ruins	n/a
1309.504	119.96399999999994	GR4:	n/a	Candy; Classroom; Tool; Bedroom; Floating Islands	n/a
1429.468	110.17599999999992	GR5:	n/a	Computer Store; Planet; Floating Islands; Bedroom; Tool	n/a
1539.644	99.15100000000008	GR6:	n/a	Ruins; Clocks; Crystals; Colorful Wall; Stone Altar	n/a
1638.795	146.385	GR7:	n/a	Stone Altar; Apple Crates; Abandoned Birthday Party; Firepit; Human Portraits	n/a
1785.18	158.76299999999992	GR8:	n/a	Painting; Storage Boxes; Chess; Ruins; Cat Portraits	n/a
1943.943	117.33600000000024	GR9:	n/a	Tool; Classroom; Antiques; TV; Candy	n/a
2061.279	138.1679999999997	GR10:	n/a	Floating Islands; Planet; Computer Store; Painting; Human Portraits	n/a
2199.447	n/a	PT:	n/a	n/a	n/a
