onset	duration	trial_type	response_time	stim_file	TODO -- fill in rows and add more tab-separated columns if desired
0.0	4.986999999999966	T:	n/a	n/a	n/a
4.986999999999966	659.6859999999999	FR:	n/a	n/a	n/a
664.6729999999999	126.60200000000007	GR0:	n/a	Floating Islands; Planet; Computer Store; Painting; Human Portraits	n/a
791.275	136.62799999999993	GR1:	n/a	Candy; Classroom; Tool; Bedroom; Floating Islands	n/a
927.903	173.59800000000018	GR2:	n/a	Stone Altar; Apple Crates; Abandoned Birthday Party; Firepit; Human Portraits	n/a
1101.5010000000002	156.5039999999999	GR3:	n/a	Human Portraits; Firepit; Abandoned Birthday Party; Apple Crates; Stone Altar	n/a
1258.005	157.52700000000004	GR4:	n/a	Painting; Storage Boxes; Chess; Ruins; Cat Portraits	n/a
1415.5320000000002	155.86299999999983	GR5:	n/a	Stone Altar; Colorful Wall; Crystals; Clocks; Ruins	n/a
1571.395	151.59400000000005	GR6:	n/a	Ruins; Clocks; Crystals; Colorful Wall; Stone Altar	n/a
1722.989	179.9749999999999	GR7:	n/a	Empty; Cat Portraits; Ruins; Chess; Human Portraits	n/a
1902.964	151.4630000000002	GR8:	n/a	Chess; Storage Boxes; Painting; Computer Store; Tool	n/a
2054.427	131.442	GR9:	n/a	Tool; Classroom; Antiques; TV; Candy	n/a
2185.869	116.84400000000004	GR10:	n/a	Computer Store; Planet; Floating Islands; Bedroom; Tool	n/a
2302.713	n/a	PT:	n/a	n/a	n/a
