filename	acq_time	operator	randstr
anat/sub-sid10_ses-01_scout1.nii.gz	2018-10-04T17:23:50	n/a	\9[^EGle
anat/sub-sid10_ses-01_scout2.nii.gz	2018-10-04T17:23:50	n/a	*gn1v:J]
anat/sub-sid10_ses-01_scout3.nii.gz	2018-10-04T17:23:50	n/a	:`~WXnB-
anat/sub-sid10_ses-01_T1w.nii.gz	2018-10-04T17:33:30	n/a	hB};_{`M
anat/sub-sid10_ses-01_T1w__dup-01.nii.gz	2018-10-04T17:33:30	n/a	&[GZ26Y'
anat/sub-sid10_ses-01_T1w__dup-02.nii.gz	2018-10-04T17:33:30	n/a	EL'_JQ3t
fmap/sub-sid10_ses-01_dir-AP_epi.nii.gz	2018-10-04T17:36:49	n/a	z7Nu^YbO
fmap/sub-sid10_ses-01_dir-PA_epi.nii.gz	2018-10-04T17:41:13	n/a	?~8U}jOY
func/sub-sid10_ses-01_task-volumetest_bold.nii.gz	2018-10-04T17:44:04	n/a	WZGS1uLt
func/sub-sid10_ses-01_task-roomvideo_run-01_bold.nii.gz	2018-10-04T17:45:45	n/a	TAUZ\7kl
func/sub-sid10_ses-01_task-roomvideo_run-02_bold.nii.gz	2018-10-04T17:51:45	n/a	5Hz~@hK`
func/sub-sid10_ses-01_task-pathvideo_bold.nii.gz	2018-10-04T17:57:30	n/a	`0,g@#p?
