filename	acq_time	operator	randstr
anat/sub-sid22_ses-02_scout1.nii.gz	2019-04-10T20:38:12	n/a	_oErT56m
anat/sub-sid22_ses-02_scout2.nii.gz	2019-04-10T20:38:12	n/a	uL4>QR25
anat/sub-sid22_ses-02_scout3.nii.gz	2019-04-10T20:38:12	n/a	PHt_\sQO
fmap/sub-sid22_ses-02_dir-AP_epi.nii.gz	2019-04-10T20:41:18	n/a	6r?/+N,H
fmap/sub-sid22_ses-02_dir-PA_epi.nii.gz	2019-04-10T20:43:12	n/a	y\VOAiz<
func/sub-sid22_ses-02_task-volumetest_bold.nii.gz	2019-04-10T20:45:36	n/a	^WeRJfoT
func/sub-sid22_ses-02_task-recall_bold.nii.gz	2019-04-10T20:48:01	n/a	0rHs!g`P
func/sub-sid22_ses-02_task-roomobjectvideo_run-01_bold.nii.gz	2019-04-10T21:16:39	n/a	~Fc2gL]U
func/sub-sid22_ses-02_task-roomobjectvideo_run-02_bold.nii.gz	2019-04-10T21:27:16	n/a	XN,'Po`t
func/sub-sid22_ses-02_task-pathvideo_bold.nii.gz	2019-04-10T21:38:21	n/a	*HwfWze\
