filename	acq_time	operator	randstr
anat/sub-sid09_ses-01_scout1.nii.gz	2018-10-02T17:11:46	n/a	7W'i:\!e
anat/sub-sid09_ses-01_scout2.nii.gz	2018-10-02T17:11:46	n/a	"lJuTf""-s"
anat/sub-sid09_ses-01_scout3.nii.gz	2018-10-02T17:11:46	n/a	,0lysOzA
anat/sub-sid09_ses-01_T1w__dup-01.nii.gz	2018-10-02T17:22:25	n/a	n4[g`hi+
anat/sub-sid09_ses-01_T1w.nii.gz	2018-10-02T17:22:26	n/a	VJ#P`58O
anat/sub-sid09_ses-01_T1w__dup-02.nii.gz	2018-10-02T17:22:26	n/a	d_qL.A#t
fmap/sub-sid09_ses-01_dir-AP_epi.nii.gz	2018-10-02T17:25:59	n/a	{dC~sSy[
fmap/sub-sid09_ses-01_dir-PA_epi.nii.gz	2018-10-02T17:28:02	n/a	G)cQ?Nap
func/sub-sid09_ses-01_task-volumetest_bold.nii.gz	2018-10-02T17:31:05	n/a	n3c0-&TV
func/sub-sid09_ses-01_task-roomvideo_run-01_bold.nii.gz	2018-10-02T17:32:30	n/a	^Fw)]A#8
func/sub-sid09_ses-01_task-roomvideo_run-02_bold.nii.gz	2018-10-02T17:38:25	n/a	~c*21;Zw
func/sub-sid09_ses-01_task-pathvideo_bold.nii.gz	2018-10-02T17:44:25	n/a	D-(3:z!m
